,Unnamed: 0,Unnamed: 0.1,jurisdiction_type,da_number,district,project_name,longitude,latitude,date_issued_or_denied,rha_determination,cwa_determination,rha1,rha2,cwa1,cwa2,cwa3,cwa4,cwa5,cwa6,cwa7,cwa8,cwa9,potential_wetland,index,Index,mukey,hydclprs,aws025wta,drclassdcd,nhd_vars_wb,nhd_vars_fl,wb_comids,wb_ftype,wb_gnis_count,wb_area,fl_comids,fl_ftype,fl_gnis_count,fl_length,fl_comid_list,fl_areasqkm,fl_totdasqkm,fl_flow_type
1000,1000,1000,RAPANOS,LRE-2019-00359-176,Detroit,Unrue - Property (stand alone),-85.08595,41.75949,05/09/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,160204.0,3.0,4.9,Well drained,"([12259076], 'LakePond+', 1, 1.547, nan)","([12260734, 12262014, 12260736], 'StreamRiver+StreamRiver+StreamRiver+', 0, nan, 7.144)",12259076,LakePond+,1,1.547,12260734 12262014 12260736,StreamRiver+StreamRiver+StreamRiver+,0,7.144,"[12260734, 12262014, 12260736]",7.9875,53.0991,3
1001,1001,1001,RAPANOS,LRE-2019-00375-146,Detroit,North 50 West Alleged Unauthorized Work,-86.71002,41.66034000000001,07/11/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1002,1002,272647.0,4.0,5.12,Somewhat poorly drained,"([], '', 0, 0, 0)","([], '', 0, 0, 0)",,,0,0.0,,,0,0.0,[],0.0,0.0,0.0
1002,1002,1002,RAPANOS,LRE-2019-00406-56,Detroit,Little Traverse Bay Band -- Stand-Alone JD,-85.03901999999998,45.6444,02/18/2020,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1003,1003,189371.0,0.0,0.0,,"([904140248], 'LakePond+', 1, 57516.647, nan)","([13054584, 13054582, 13054580, 13054586], 'Coastline+Coastline+Coastline+Coastline+', 0, nan, 5.599)",904140248,LakePond+,1,57516.647,13054584 13054582 13054580 13054586,Coastline+Coastline+Coastline+Coastline+,0,5.599,"[13054584, 13054582, 13054580, 13054586]","686757   NaN
Name: areasqkm, dtype: float64","686757   NaN
Name: totdasqkm, dtype: float64","686757   NaN
Name: flow_type, dtype: float64"
1003,1003,1003,RAPANOS,LRE-2019-00426-102,Detroit,BHI Illinois Road - JD,-85.26003,41.07043,11/20/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1004,1004,164723.0,3.0,4.44,Moderately well drained,"([], '', 0, 0, 0)","([], '', 0, 0, 0)",,,0,0.0,,,0,0.0,[],0.0,0.0,0.0
1004,1004,1004,RAPANOS,LRE-2019-00434-102,Detroit,Buzbee Property- JD,-85.05601,41.16142,11/08/2019,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1005,1005,164667.0,5.0,5.08,Somewhat poorly drained,"([], '', 0, 0, 0)","([15679319, 15679335], 'StreamRiver+CanalDitch+', 1, nan, 6.503)",,,0,0.0,15679319 15679335,StreamRiver+CanalDitch+,1,6.503,"[15679319, 15679335]",9.943200000000001,2737.5903,2
1005,1005,1005,RAPANOS,LRE-2019-00435-143,Detroit,Trailside Storage Units,-85.85292,41.26191,08/08/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1006,1006,160853.0,0.0,2.25,Well drained,"([18486046, 18486052, 18507500], 'LakePond+LakePond+SwampMarsh+', 0, 1.708, nan)","([18486478, 18486732, 18486468, 18486476, 18486910, 18486912, 18486914, 18486916, 18486482, 18486488, 18486492, 18486466, 18486734, 18486752, 18486472], 'StreamRiver+CanalDitch+StreamRiver+StreamRiver+ArtificialPath+ArtificialPath+ArtificialPath+ArtificialPath+StreamRiver+StreamRiver+StreamRiver+StreamRiver+StreamRiver+StreamRiver+StreamRiver+', 5, nan, 24.084)",18486046 18486052 18507500,LakePond+LakePond+SwampMarsh+,0,1.708,18486478 18486732 18486468 18486476 18486910 18486912 18486914 18486916 18486482 18486488 18486492 18486466 18486734 18486752 18486472,StreamRiver+CanalDitch+StreamRiver+StreamRiver+ArtificialPath+ArtificialPath+ArtificialPath+ArtificialPath+StreamRiver+StreamRiver+StreamRiver+StreamRiver+StreamRiver+StreamRiver+StreamRiver+,5,24.084,"[18486478, 18486732, 18486468, 18486476, 18486910, 18486912, 18486914, 18486916, 18486482, 18486488, 18486492, 18486466, 18486734, 18486752, 18486472]",43.101,2505.9168,15
1006,1006,1006,RAPANOS,LRE-2019-00469-102,Detroit,Mercato Development - JD,-85.30525,41.06497,09/13/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1007,1007,164738.0,91.0,5.25,Very poorly drained,"([], '', 0, 0, 0)","([18507396, 18507414, 18507388, 18507394], 'StreamRiver+StreamRiver+CanalDitch+StreamRiver+', 1, nan, 11.812)",,,0,0.0,18507396 18507414 18507388 18507394,StreamRiver+StreamRiver+CanalDitch+StreamRiver+,1,11.812,"[18507396, 18507414, 18507388, 18507394]",19.4904,188.3331,4
1007,1007,1007,RAPANOS,LRE-2019-00569-176,Detroit,Lakeside Investments JD,-85.03668,41.68823,11/25/2019,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1008,1008,160189.0,0.0,3.86,Well drained,"([12259344, 12259122], 'LakePond+LakePond+', 2, 7.882999999999999, nan)","([12273290], 'ArtificialPath+', 0, nan, 2.712)",12259344 12259122,LakePond+LakePond+,2,7.882999999999999,12273290,ArtificialPath+,0,2.712,[12273290],10.4418,15.8058,1
1008,1008,1008,RAPANOS,LRE-2019-00573-171,Detroit,Fir Road Property Alleged Unauthorized Work,-86.15891000000002,41.68156,09/19/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1009,1009,612266.0,6.0,5.0,,"([], '', 0, 0, 0)","([12264512], 'StreamRiver+', 0, nan, 4.038)",,,0,0.0,12264512,StreamRiver+,0,4.038,[12264512],,,0
1009,1009,1009,RAPANOS,LRE-2019-00598-102,Detroit,Adams & Arnold Properties-JD,-85.21469,41.18953,12/30/2019,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1010,1010,164667.0,5.0,5.08,Somewhat poorly drained,"([], '', 0, 0, 0)","([18498346, 18498378], 'StreamRiver+CanalDitch+', 0, nan, 4.133)",,,0,0.0,18498346 18498378,StreamRiver+CanalDitch+,0,4.133,"[18498346, 18498378]",8.0235,21.9969,2
