,Unnamed: 0,Unnamed: 0.1,jurisdiction_type,da_number,district,project_name,longitude,latitude,date_issued_or_denied,rha_determination,cwa_determination,rha1,rha2,cwa1,cwa2,cwa3,cwa4,cwa5,cwa6,cwa7,cwa8,cwa9,potential_wetland,index,Index,mukey,hydclprs,aws025wta,drclassdcd,nhd_vars_wb,nhd_vars_fl,wb_comids,wb_ftype,wb_gnis_count,wb_area,fl_comids,fl_ftype,fl_gnis_count,fl_length,fl_comid_list,fl_areasqkm,fl_totdasqkm,fl_flow_type
500,500,500,RAPANOS,LRC-2016-00572,Chicago,CyrusOne LLCMolitor Road IP,-88.24691,41.79553,10/06/2016,0,1,0,0,0,0,0,0,0,0,1,0,0,1,501,501,183358.0,100.0,4.51,Poorly drained,"([14761695], 'LakePond+', 0, 0.027, nan)","([14762153, 14763131], 'StreamRiver+ArtificialPath+', 0, nan, 2.27)",14761695,LakePond+,0,0.027,14762153 14763131,StreamRiver+ArtificialPath+,0,2.27,"[14762153, 14763131]",5.121,6.7311000000000005,2
501,501,501,RAPANOS,LRC-2016-00573,Chicago,CyrusOne LLC - JD Diehl Road ,-88.24497,41.79709,08/31/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,502,502,183358.0,100.0,4.51,Poorly drained,"([14761695], 'LakePond+', 0, 0.027, nan)","([14762153, 14763131], 'StreamRiver+ArtificialPath+', 0, nan, 2.27)",14761695,LakePond+,0,0.027,14762153 14763131,StreamRiver+ArtificialPath+,0,2.27,"[14762153, 14763131]",5.121,6.7311000000000005,2
502,502,502,RAPANOS,LRC-2016-00574,Chicago,Pulte Homes - JD Valkoun Lemond Avenue ,-88.04566,41.76831,09/21/2016,0,1,0,0,0,0,0,1,0,0,0,0,0,1,503,503,183380.0,97.0,4.22,Poorly drained,"([14786591], 'LakePond+', 0, 0.04, nan)","([14786957], 'StreamRiver+', 1, nan, 6.365)",14786591,LakePond+,0,0.04,14786957,StreamRiver+,1,6.365,[14786957],16.8615,16.8615,1
503,503,503,RAPANOS,LRC-2016-00584,Chicago,JD for Proposed Transfer Station ,-88.31071999999998,41.79049000000001,08/31/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,504,504,271454.0,4.0,5.21,Moderately well drained,"([], '', 0, 0, 0)","([14762167, 14762969, 14762971, 14762973], 'StreamRiver+ArtificialPath+ArtificialPath+ArtificialPath+', 2, nan, 9.872)",,,0,0.0,14762167 14762969 14762971 14762973,StreamRiver+ArtificialPath+ArtificialPath+ArtificialPath+,2,9.872,"[14762167, 14762969, 14762971, 14762973]",20.0133,8720.0739,4
504,504,504,RAPANOS,LRC-2016-00586,Chicago,Village of Orland Park - Humphrey Drive,-87.84899999999998,41.6306,09/19/2016,0,1,0,0,0,0,1,0,1,0,0,0,0,1,505,505,2108755.0,100.0,4.43,Very poorly drained,"([14785755, 13463511, 13463513], 'LakePond+LakePond+LakePond+', 1, 1.143, nan)","([13463773], 'StreamRiver+', 0, nan, 1.425)",14785755 13463511 13463513,LakePond+LakePond+LakePond+,1,1.143,13463773,StreamRiver+,0,1.425,[13463773],3.8412,3.8412,1
505,505,505,RAPANOS,LRC-2016-00590,Chicago,Village of Crestwood - JD,-87.7366,41.65311,09/15/2016,1,1,0,1,1,0,0,0,0,0,0,0,0,1,506,506,2518146.0,0.0,3.3,,"([], '', 0, 0, 0)","([13463977, 13463963, 13463741, 13463909, 13463965, 13463967], 'ArtificialPath+ArtificialPath+StreamRiver+StreamRiver+ArtificialPath+ArtificialPath+', 2, nan, 17.232)",,,0,0.0,13463977 13463963 13463741 13463909 13463965 13463967,ArtificialPath+ArtificialPath+StreamRiver+StreamRiver+ArtificialPath+ArtificialPath+,2,17.232,"[13463977, 13463963, 13463741, 13463909, 13463965, 13463967]",18.4581,1772.5680000000002,6
506,506,506,RAPANOS,LRC-2016-00595,Chicago,Coopers Woods Subdivision,-88.32266,41.88451,09/21/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,507,507,271310.0,97.0,4.22,Poorly drained,"([], '', 0, 0, 0)","([], '', 0, 0, 0)",,,0,0.0,,,0,0.0,[],0.0,0.0,0.0
507,507,507,RAPANOS,LRC-2016-00602,Chicago,Northern Builders - JD Naperville ,-88.19225,41.77385,09/23/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,508,508,183358.0,100.0,4.51,Poorly drained,"([], '', 0, 0, 0)","([], '', 0, 0, 0)",,,0,0.0,,,0,0.0,[],0.0,0.0,0.0
508,508,508,RAPANOS,LRC-2016-00604,Chicago,Itasca Park District - JD,-88.03008,41.96187000000001,08/31/2016,0,1,0,0,0,0,0,0,1,0,0,0,0,0,509,509,183395.0,100.0,4.5,Poorly drained,"([14786391, 14786387], 'LakePond+LakePond+', 2, 0.14500000000000002, nan)","([14787357, 14787423, 14787427, 14787425], 'StreamRiver+ArtificialPath+ArtificialPath+ArtificialPath+', 1, nan, 5.564)",14786391 14786387,LakePond+LakePond+,2,0.14500000000000002,14787357 14787423 14787427 14787425,StreamRiver+ArtificialPath+ArtificialPath+ArtificialPath+,1,5.564,"[14787357, 14787423, 14787427, 14787425]",9.3528,99.9063,4
509,509,509,RAPANOS,LRC-2016-00615,Chicago,Flint Lake Garden Terrace Wetland ,-87.01348,41.49382,09/02/2016,0,1,0,0,0,0,1,0,1,0,0,0,0,0,510,510,160647.0,0.0,0.0,Somewhat poorly drained,"([], '', 0, 0, 0)","([13431953, 13435743, 13431955], 'StreamRiver+StreamRiver+StreamRiver+', 0, nan, 5.308)",,,0,0.0,13431953 13435743 13431955,StreamRiver+StreamRiver+StreamRiver+,0,5.308,"[13431953, 13435743, 13431955]",,,2
